name;lastname;password;dni;mail;type
alumne1;apellido1;1234;24190823M;alumne1.apellido1@gmail.com;2
alumne2;apellido2;1234;24190823M;alumne2.apellido2@gmail.com;2
alumne3;apellido3;1234;24190823M;alumne3.apellido3@gmail.com;2
alumne4;apellido4;1234;24190823M;alumne4.apellido4@gmail.com;2
alumne5;apellido5;1234;24190823M;alumne5.apellido5@gmail.com;2
alumne6;apellido6;1234;24190823M;alumne6.apellido6@gmail.com;2
alumne7;apellido7;1234;24190823M;alumne7.apellido7@gmail.com;2
alumne8;apellido8;1234;24190823M;alumne8.apellido8@gmail.com;2
alumne9;apellido9;1234;24190823M;alumne9.apellido9@gmail.com;2
alumne10;apellido10;1234;24190823M;alumne10.apellido10@gmail.com;2
alumne11;apellido11;1234;24190823M;alumne11.apellido11@gmail.com;2
alumne12;apellido12;1234;24190823M;alumne12.apellido12@gmail.com;2
alumne13;apellido13;1234;24190823M;alumne13.apellido13@gmail.com;2
alumne14;apellido14;1234;24190823M;alumne14.apellido14@gmail.com;2
alumne15;apellido15;1234;24190823M;alumne15.apellido15@gmail.com;2
alumne16;apellido16;1234;24190823M;alumne16.apellido16@gmail.com;2
alumne17;apellido17;1234;24190823M;alumne17.apellido17@gmail.com;2
alumne18;apellido18;1234;24190823M;alumne18.apellido18@gmail.com;2
alumne19;apellido19;1234;24190823M;alumne19.apellido19@gmail.com;2
alumne20;apellido20;1234;24190823M;alumne20.apellido20@gmail.com;2
alumne21;apellido21;1234;24190823M;alumne21.apellido21@gmail.com;2
alumne22;apellido22;1234;24190823M;alumne22.apellido22@gmail.com;2
